Size,Duration,NumThreads
500,0.0416124,1
1000,0.322178,1
1500,1.09655,1
2000,2.59034,1
2500,5.16844,1
3000,8.85365,1
3500,13.9836,1
4000,21.2533,1
4500,29.9779,1
5000,41.6918,1
500,0.0220819,2
1000,0.166033,2
1500,0.548366,2
2000,1.30522,2
2500,2.61359,2
3000,4.48928,2
3500,7.13076,2
4000,10.7187,2
4500,15.3464,2
5000,20.8404,2
500,0.0115142,4
1000,0.0839141,4
1500,0.28376,4
2000,0.657644,4
2500,1.30632,4
3000,2.25179,4
3500,3.57756,4
4000,5.39156,4
4500,7.69818,4
5000,10.4077,4
500,0.00654802,8
1000,0.0442183,8
1500,0.141876,8
2000,0.338147,8
2500,0.660858,8
3000,1.13,8
3500,1.7726,8
4000,2.73868,8
4500,3.91643,8
5000,5.27702,8
500,0.00566263,16
1000,0.0306901,16
1500,0.0769386,16
2000,0.193776,16
2500,0.343426,16
3000,0.591011,16
3500,0.956053,16
4000,1.42448,16
4500,1.97237,16
5000,2.65727,16
