Size,Duration,Comm_time, Gflops,TILE_SIZE,SUB_TILE_SIZE
64,0.025632,0.004128,20.4544,64,4
64,0.028416,0.004608,18.4505,64,4
64,0.025568,0.004064,20.5056,64,4
64,0.025696,0.004032,20.4035,64,4
64,0.025696,0.004192,20.4035,64,4
128,0.043872,0.004,95.6032,64,4
128,0.04368,0.00448,96.0234,64,4
128,0.042528,0.003776,98.6245,64,4
128,0.042976,0.003808,97.5964,64,4
128,0.043168,0.004256,97.1623,64,4
256,0.07904,0.004288,424.525,64,4
256,0.078912,0.00416,425.213,64,4
256,0.078336,0.003776,428.34,64,4
256,0.078272,0.00432,428.69,64,4
256,0.078528,0.00384,427.293,64,4
512,0.14944,0.004032,1796.28,64,4
512,0.151424,0.004192,1772.74,64,4
512,0.151584,0.004224,1770.87,64,4
512,0.151872,0.004416,1767.51,64,4
512,0.150624,0.004192,1782.16,64,4
1024,0.570144,0.003968,3766.56,64,4
1024,0.573856,0.00432,3742.2,64,4
1024,0.572768,0.00448,3749.31,64,4
1024,0.571072,0.0048,3760.44,64,4
1024,0.575552,0.00416,3731.17,64,4
2048,4.44243,0.004416,3867.22,64,4
2048,4.44765,0.004512,3862.69,64,4
2048,4.43907,0.004448,3870.15,64,4
2048,4.44803,0.004896,3862.35,64,4
2048,4.44595,0.004544,3864.16,64,4
4096,32.0882,0.00832,4283.16,64,4
4096,32.058,0.00784,4287.19,64,4
4096,32.0643,0.008,4286.35,64,4
4096,29.3044,0.008,4690.05,64,4
4096,29.2742,0.00736,4694.89,64,4
8192,233.639,0.00816,4706.03,64,4
8192,233.598,0.007808,4706.86,64,4
8192,233.63,0.008384,4706.22,64,4
8192,233.63,0.011424,4706.21,64,4
8192,233.636,0.008256,4706.09,64,4
16384,1860.09,0.009056,4728.86,64,4
16384,1859.96,0.008896,4729.2,64,4
16384,1859.95,0.012192,4729.21,64,4
16384,1859.96,0.012064,4729.18,64,4
16384,1860,0.008512,4729.08,64,4
