Size,Duration,NumProcesses
500,0.0441806,1
1000,0.336857,1
1500,1.11898,1
2000,2.64504,1
2500,5.18371,1
3000,8.90016,1
3500,14.204,1
4000,21.4501,1
4500,30.2136,1
5000,41.3511,1
500,0.0259678,2
1000,0.175047,2
1500,0.57758,2
2000,1.37244,2
2500,2.63829,2
3000,4.49571,2
3500,7.1515,2
4000,10.7338,2
4500,15.2472,2
5000,20.6629,2
500,0.0165692,4
1000,0.097687,4
1500,0.307311,4
2000,0.714371,4
2500,1.39949,4
3000,2.36453,4
3500,3.74071,4
4000,5.46867,4
4500,7.67422,4
5000,10.6521,4
500,0.0115097,8
1000,0.0553484,8
1500,0.173572,8
2000,0.392779,8
2500,0.748423,8
3000,1.26128,8
3500,1.99955,8
4000,2.97586,8
4500,4.24829,8
500,0.013661,16
1000,0.039908,16
1500,0.118293,16
2000,0.267214,16
2500,0.509993,16
3000,0.846476,16
